,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type,OTU_ID
OTU1,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,None,none,short-distance_coarse,/cenococcum,,,,None,OTU1
OTU2,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella humilis,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU2
OTU3,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula exalbicans,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU3
OTU4,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU4
OTU5,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/pseudotomentella,,,,corticioid,OTU5
OTU6,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Byssocorticiaceae,Byssocorticium,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/byssocorticium,,,,corticioid,OTU6
OTU7,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,Wilcoxina rehmii,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,short-distance_coarse,/wilcoxina,,,,apothecium_(hymenium_on_surface),OTU7
OTU8,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,corticioid,OTU8
OTU9,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,,,soil_saprotroph,,extremophile_xerophile_and_heat_resistant,,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU9
OTU10,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/hygrophorus,,,,agaricoid,OTU10
OTU11,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula brevipes,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU11
OTU12,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/hygrophorus,,,,agaricoid,OTU12
OTU13,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU13
OTU14,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,,,dung_saprotroph,soil_saprotroph,,,,"soil,dung",,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)",OTU14
OTU15,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita gemmata,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/amanita,,,,agaricoid,OTU15
OTU16,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU16
OTU17,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius bridgei,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU17
OTU18,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU18
OTU19,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,,"leaf/fruit/seed,soil,dung,animal_material",,partly_aquatic,animal-associated/opportunistic_human_parasite,,yeast,,,,,,,,,OTU19
OTU20,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU20
OTU22,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,Geopora cooperi,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,short-distance_coarse,/geopora,,,,apothecium_(hymenium_on_surface),OTU22
OTU23,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU23
OTU24,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU24
OTU25,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma vernaticum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/tricholoma,,,,agaricoid,OTU25
OTU26,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU26
OTU27,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU27
OTU28,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU28
OTU29,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Meliniomyces,,,root_endophyte,soil_saprotroph,ectomycorrhizal_M._bicolor/ericoid_mycorrhizal_M._variabilis,root_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,None,none,short-distance_delicate,/meliniomyces,,,,None,OTU29
OTU30,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU30
OTU31,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU31
OTU32,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Genea,Genea harknessii,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,short-distance_coarse,/genea-humaria,,,,gasteroid-hypogeous,OTU32
OTU33,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius eldoradoensis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU33
OTU34,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,,Sistotrema,,,litter_saprotroph,,ectomycorrhizal_many_species,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/cantharellus,,,,corticioid,OTU34
OTU35,Fungi,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,Phialocephala,,,soil_saprotroph,root_endophyte,,root_endophyte_dark_septate,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU35
OTU36,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU36
OTU37,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Ilyonectria mors-panacis,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)",OTU37
OTU38,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU38
OTU39,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius torminosus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_smooth,/russula-lactarius,,,,agaricoid,OTU39
OTU40,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/piloderma,,,,corticioid,OTU40
OTU41,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius calyptratus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU41
OTU42,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,short-distance_coarse,/geopora,,,,apothecium_(hymenium_on_surface),OTU42
OTU43,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,short-distance_delicate,/sebacina,,,,corticioid,OTU43
OTU44,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU44
OTU45,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,Piloderma olivaceum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/piloderma,,,,corticioid,OTU45
OTU46,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus chippewaensis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,,agaricoid,OTU46
OTU47,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU47
OTU48,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Myrmecocystis,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,short-distance_coarse,/genea-humaria,,,,gasteroid-hypogeous,OTU48
OTU49,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU49
OTU50,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,non-aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,,OTU50
OTU51,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia restricta,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,partly_aquatic,animal-associated/opportunistic_human_parasite,,yeast,none,none,,,,,,none,OTU51
OTU52,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU52
OTU53,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU53
OTU54,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,short-distance_coarse,/geopora,,,,apothecium_(hymenium_on_surface),OTU54
OTU55,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU55
OTU56,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,,,soil_saprotroph,epiphyte,,,,soil,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU56
OTU57,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU57
OTU58,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU58
OTU59,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Choiromyces,Choiromyces alveolatus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/tuber-helvella,,,,gasteroid-hypogeous,OTU59
OTU60,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU60
OTU61,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU61
OTU62,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU62
OTU64,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella sublilacina,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,corticioid,OTU64
OTU66,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,Xerocomellus zelleri,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,,agaricoid,OTU66
OTU67,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU67
OTU68,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Leucophleps,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,,gasteroid-hypogeous,OTU68
OTU70,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU70
OTU71,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella pallidocastanea,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,corticioid,OTU71
OTU72,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU72
OTU73,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,corticioid,OTU73
OTU74,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentellopsis,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentellopsis,,,,corticioid,OTU74
OTU75,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,Trichothecium,Trichothecium crotocinigenum,,plant_pathogen,litter_saprotroph,mycoparasite_some_species,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,,,,OTU75
OTU76,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus rex-veris,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,,,agaricoid,OTU76
OTU77,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU77
OTU78,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU78
OTU80,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,Mycena aetites,,litter_saprotroph,root-associated,wood_saprotroph_many_species,root-associated,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU80
OTU82,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Leucophleps,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,,gasteroid-hypogeous,OTU82
OTU83,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU83
OTU84,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,corticioid,OTU84
OTU85,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella fimbricystis,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU85
OTU86,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU86
OTU87,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU87
OTU88,Fungi,Basidiomycota,Agaricomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU88
OTU89,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU89
OTU90,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,,,soil_saprotroph,,extremophile_xerophile_and_heat_resistant,,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU90
OTU91,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,,,soil_saprotroph,unspecified_symbiotroph,"CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species",root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_smooth,/entoloma,,,,agaricoid,OTU91
OTU93,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Rhodoscypha,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,unknown,/rhodoscypha,,,,apothecium_(hymenium_on_surface),OTU93
OTU94,Fungi,Basidiomycota,Tritirachiomycetes,Tritirachiales,Tritirachiaceae,Paratritirachium,,,soil_saprotroph,,extremophile_thermophile,no_endophytic_capacity,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU94
OTU95,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU95
OTU96,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,,,root_endophyte,soil_saprotroph,ectomycorrhizal_1%_species/ericoid_mycorrhizal_many_species/orchid_mycorrhizal,root_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU96
OTU97,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU97
OTU98,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe lacera,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU98
OTU99,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Vanrija,Vanrija albida,,wood_saprotroph,,,,,wood,,non-aquatic,,,yeast,none,none,,,,,,none,OTU99
OTU100,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Leucogaster,Leucogaster odoratus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,,gasteroid-hypogeous,OTU100
OTU101,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella horticola,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU101
OTU102,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hebeloma,Hebeloma dunense,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/hebeloma-alnicola,,,,agaricoid,OTU102
OTU103,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU103
OTU104,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU104
OTU105,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Ramaria,,,ectomycorrhizal,,litter_saprotroph_10%_species_(early_lineages_with_small_fruit_bodies),,,,,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,mat,/ramaria-gautieria,,,,clavarioid,OTU105
OTU106,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma triste,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/tricholoma,,,,agaricoid,OTU106
OTU107,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU107
OTU108,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU108
OTU109,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU109
OTU110,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Armillaria borealis,,litter_saprotroph,plant_pathogen,"root_pathogen_some_species,litter_and_wood_saprotroph",root-associated,wood_pathogen,"wood,leaf/fruit/seed,roots,soil",white_rot,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,white_rot,agaricoid,OTU110
OTU111,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe inodora,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU111
OTU112,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Chaetospermum,,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,,,,,,corticioid,OTU112
OTU113,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU113
